"Park_Name","City","Country","Year","Attendance","Type","Region"
" CHIMELONG PARADISE"," GUANGZHOU"," CHINA","2020",26810000,"Amusement/Theme Park","Worldwide"
" CHIMELONG PARADISE"," GUANGZHOU"," CHINA","2021",38900000,"Amusement/Theme Park","Worldwide"
" CHIMELONG PARADISE"," GUANGZHOU"," CHINA","2022",2.3e+07,"Amusement/Theme Park","Worldwide"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2019",209630000,"Amusement/Theme Park","North America"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2020",69410000,"Amusement/Theme Park","North America"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2021",126910000,"Amusement/Theme Park","North America"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2022",171330000,"Amusement/Theme Park","North America"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2019",186660000,"Amusement/Theme Park","North America"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2020",36740000,"Amusement/Theme Park","North America"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2021",85730000,"Amusement/Theme Park","North America"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2022",168810000,"Amusement/Theme Park","North America"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2019",138880000,"Amusement/Theme Park","North America"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2020",41660000,"Amusement/Theme Park","North America"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2021",71940000,"Amusement/Theme Park","North America"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2022",90270000,"Amusement/Theme Park","North America"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2019",124440000,"Amusement/Theme Park","North America"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2020",40440000,"Amusement/Theme Park","North America"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2021",77520000,"Amusement/Theme Park","North America"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2022",1e+08,"Amusement/Theme Park","North America"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2019",114830000,"Amusement/Theme Park","North America"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2020",36750000,"Amusement/Theme Park","North America"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2021",85890000,"Amusement/Theme Park","North America"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2022",1.09e+08,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS FLORIDA"," ORLANDO"," U.S.","2019",109220000,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS FLORIDA"," ORLANDO"," U.S.","2020",40960000,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS FLORIDA"," ORLANDO"," U.S.","2021",89870000,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS FLORIDA"," ORLANDO"," U.S.","2022",107500000,"Amusement/Theme Park","North America"
" UNIVERSAL'S ISLANDS OF ADVENTURE"," ORLANDO"," U.S.","2019",103750000,"Amusement/Theme Park","North America"
" UNIVERSAL'S ISLANDS OF ADVENTURE"," ORLANDO"," U.S.","2020",40050000,"Amusement/Theme Park","North America"
" UNIVERSAL'S ISLANDS OF ADVENTURE"," ORLANDO"," U.S.","2021",90770000,"Amusement/Theme Park","North America"
" UNIVERSAL'S ISLANDS OF ADVENTURE"," ORLANDO"," U.S.","2022",110250000,"Amusement/Theme Park","North America"
" DISNEY CALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2019",98610000,"Amusement/Theme Park","North America"
" DISNEY CALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2020",19190000,"Amusement/Theme Park","North America"
" DISNEY CALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2021",49770000,"Amusement/Theme Park","North America"
" DISNEY CALIFORNIA ADVENTURE PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2022",9e+07,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2019",91470000,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2020",12990000,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2021",55050000,"Amusement/Theme Park","North America"
" UNIVERSAL STUDIOS HOLLYWOOD"," UNIVERSAL CITY"," U.S.","2022",8.4e+07,"Amusement/Theme Park","North America"
" SEAWORLD ORLANDO"," ORLANDO"," U.S.","2019",46400000,"Amusement/Theme Park","North America"
" SEAWORLD ORLANDO"," ORLANDO"," U.S.","2020",15980000,"Amusement/Theme Park","North America"
" SEAWORLD ORLANDO"," ORLANDO"," U.S.","2021",30510000,"Amusement/Theme Park","North America"
" SEAWORLD ORLANDO"," ORLANDO"," U.S.","2022",44540000,"Amusement/Theme Park","North America"
" KNOTT'S BERRY FARM"," BUENA PARK"," U.S.","2019",42380000,"Amusement/Theme Park","North America"
" KNOTT'S BERRY FARM"," BUENA PARK"," U.S.","2020",8110000,"Amusement/Theme Park","North America"
" KNOTT'S BERRY FARM"," BUENA PARK"," U.S.","2021",36810000,"Amusement/Theme Park","North America"
" KNOTT'S BERRY FARM"," BUENA PARK"," U.S.","2022",38990000,"Amusement/Theme Park","North America"
" BUSCH GARDENS TAMPA BAY"," TAMPA"," U.S.","2019",41800000,"Amusement/Theme Park","North America"
" BUSCH GARDENS TAMPA BAY"," TAMPA"," U.S.","2020",12880000,"Amusement/Theme Park","North America"
" BUSCH GARDENS TAMPA BAY"," TAMPA"," U.S.","2021",32100000,"Amusement/Theme Park","North America"
" BUSCH GARDENS TAMPA BAY"," TAMPA"," U.S.","2022",40510000,"Amusement/Theme Park","North America"
" CANADA'S WONDERLAND"," MAPLE"," CANADA","2019",39500000,"Amusement/Theme Park","North America"
" CANADA'S WONDERLAND"," MAPLE"," CANADA","2020",0,"Amusement/Theme Park","North America"
" CANADA'S WONDERLAND"," MAPLE"," CANADA","2021",5870000,"Amusement/Theme Park","North America"
" CANADA'S WONDERLAND"," MAPLE"," CANADA","2022",37680000,"Amusement/Theme Park","North America"
" SEAWORLD SAN DIEGO"," SAN DIEGO"," U.S.","2019",37310000,"Amusement/Theme Park","North America"
" SEAWORLD SAN DIEGO"," SAN DIEGO"," U.S.","2020",11390000,"Amusement/Theme Park","North America"
" SEAWORLD SAN DIEGO"," SAN DIEGO"," U.S.","2021",2.8e+07,"Amusement/Theme Park","North America"
" SEAWORLD SAN DIEGO"," SAN DIEGO"," U.S.","2022",35070000,"Amusement/Theme Park","North America"
" CEDAR POINT"," SANDUSKY"," U.S.","2019",36100000,"Amusement/Theme Park","North America"
" CEDAR POINT"," SANDUSKY"," U.S.","2020",10200000,"Amusement/Theme Park","North America"
" CEDAR POINT"," SANDUSKY"," U.S.","2021",33270000,"Amusement/Theme Park","North America"
" CEDAR POINT"," SANDUSKY"," U.S.","2022",34440000,"Amusement/Theme Park","North America"
" SIX FLAGS MAGIC MOUNTAIN"," VALENCIA"," U.S.","2019",35210000,"Amusement/Theme Park","North America"
" SIX FLAGS MAGIC MOUNTAIN"," VALENCIA"," U.S.","2020",6860000,"Amusement/Theme Park","North America"
